Serial.No.	Content ID	Reaction Type	Datetime	User ID	Content Type	Category	Sentiment	Score
48	9f737e0a-3cdd-4d29-9d24-753f4e3be810	scared	11-02-21 4:53	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	negative	15
49	9f737e0a-3cdd-4d29-9d24-753f4e3be810	hate	08-03-21 10:40	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	negative	5
50	9f737e0a-3cdd-4d29-9d24-753f4e3be810	disgust	28-03-21 21:15	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	negative	0
51	9f737e0a-3cdd-4d29-9d24-753f4e3be810	hate	25-05-21 1:00	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	negative	5
52	9f737e0a-3cdd-4d29-9d24-753f4e3be810	like	15-03-21 12:17	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	50
53	9f737e0a-3cdd-4d29-9d24-753f4e3be810	love	05-05-21 16:26	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	65
54	9f737e0a-3cdd-4d29-9d24-753f4e3be810	love	31-08-20 0:21	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	65
55	9f737e0a-3cdd-4d29-9d24-753f4e3be810	heart	16-06-21 3:02	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	60
56	9f737e0a-3cdd-4d29-9d24-753f4e3be810	indifferent	07-07-20 10:52	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	neutral	20
57	9f737e0a-3cdd-4d29-9d24-753f4e3be810	peeking	20-08-20 7:59	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	neutral	35
58	9f737e0a-3cdd-4d29-9d24-753f4e3be810	love	23-09-20 11:15	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	65
59	9f737e0a-3cdd-4d29-9d24-753f4e3be810	like	24-03-21 5:56	beb1f34e-7870-46d6-9fc7-2e12eb83ce43	photo	healthy eating	positive	50
60	230c4e4d-70c3-461d-b42c-ec09396efb3f	hate	07-12-20 19:13	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	5
61	230c4e4d-70c3-461d-b42c-ec09396efb3f	super love	03-08-20 16:41	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	75
62	230c4e4d-70c3-461d-b42c-ec09396efb3f	adore	10-01-21 15:36	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	72
63	230c4e4d-70c3-461d-b42c-ec09396efb3f	scared	20-09-20 8:48	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	15
64	230c4e4d-70c3-461d-b42c-ec09396efb3f	cherish	20-07-20 14:06	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	70
65	230c4e4d-70c3-461d-b42c-ec09396efb3f	adore	24-10-20 12:15	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	72
66	230c4e4d-70c3-461d-b42c-ec09396efb3f	interested	06-06-21 1:27	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	30
67	230c4e4d-70c3-461d-b42c-ec09396efb3f	heart	25-12-20 0:09	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	60
68	230c4e4d-70c3-461d-b42c-ec09396efb3f	like	14-06-21 7:56	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	50
69	230c4e4d-70c3-461d-b42c-ec09396efb3f	like	05-06-21 18:00	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	50
70	230c4e4d-70c3-461d-b42c-ec09396efb3f	hate	18-11-20 23:37	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	5
71	230c4e4d-70c3-461d-b42c-ec09396efb3f	interested	09-05-21 2:42	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	30
72	230c4e4d-70c3-461d-b42c-ec09396efb3f	dislike	11-05-21 8:38	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	10
73	230c4e4d-70c3-461d-b42c-ec09396efb3f	peeking	12-11-20 8:00	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	neutral	35
74	230c4e4d-70c3-461d-b42c-ec09396efb3f	heart	21-06-20 16:57	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	60
75	230c4e4d-70c3-461d-b42c-ec09396efb3f	super love	04-03-21 23:58	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	75
76	230c4e4d-70c3-461d-b42c-ec09396efb3f	want	09-07-20 16:47	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	70
77	230c4e4d-70c3-461d-b42c-ec09396efb3f	hate	01-08-20 19:16	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	5
78	230c4e4d-70c3-461d-b42c-ec09396efb3f	dislike	23-11-20 22:46	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	10
79	230c4e4d-70c3-461d-b42c-ec09396efb3f	scared	11-12-20 14:08	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	15
80	230c4e4d-70c3-461d-b42c-ec09396efb3f	dislike	23-04-21 23:41	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	10
81	230c4e4d-70c3-461d-b42c-ec09396efb3f	want	13-11-20 0:33	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	70
82	230c4e4d-70c3-461d-b42c-ec09396efb3f	interested	09-06-21 10:13	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	30
83	230c4e4d-70c3-461d-b42c-ec09396efb3f	love	29-10-20 19:41	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	65
84	230c4e4d-70c3-461d-b42c-ec09396efb3f	heart	14-05-21 12:47	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	60
85	230c4e4d-70c3-461d-b42c-ec09396efb3f	disgust	04-08-20 5:40	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	0
86	230c4e4d-70c3-461d-b42c-ec09396efb3f	adore	07-08-20 4:09	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	72
87	230c4e4d-70c3-461d-b42c-ec09396efb3f	adore	23-10-20 21:19	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	72
88	230c4e4d-70c3-461d-b42c-ec09396efb3f	adore	14-11-20 23:53	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	72
89	230c4e4d-70c3-461d-b42c-ec09396efb3f	worried	04-08-20 19:26	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	negative	12
90	230c4e4d-70c3-461d-b42c-ec09396efb3f	interested	12-11-20 4:54	a5c65404-5894-4b87-82f2-d787cbee86b4	photo	healthy eating	positive	30
91	356fff80-da4d-4785-9f43-bc1261031dc6	worried	03-04-21 12:17	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	negative	12
92	356fff80-da4d-4785-9f43-bc1261031dc6	want	27-09-20 22:15	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	positive	70
93	356fff80-da4d-4785-9f43-bc1261031dc6	heart	27-10-20 5:45	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	positive	60
94	356fff80-da4d-4785-9f43-bc1261031dc6	scared	15-10-20 9:11	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	negative	15
95	356fff80-da4d-4785-9f43-bc1261031dc6	heart	07-05-21 9:16	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	positive	60
96	356fff80-da4d-4785-9f43-bc1261031dc6	hate	16-09-20 8:39	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	negative	5
97	356fff80-da4d-4785-9f43-bc1261031dc6	indifferent	29-10-20 15:38	9fb4ce88-fac1-406c-8544-1a899cee7aaf	photo	technology	neutral	20
98	01ab84dd-6364-4236-abbb-3f237db77180	scared	24-05-21 18:03	e206e31b-5f85-4964-b6ea-d7ee5324def1	video	food	negative	15
99	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	interested	25-02-21 20:02	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	30
100	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	hate	02-05-21 3:45	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	negative	5
101	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	want	28-01-21 8:49	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	70
102	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	peeking	15-02-21 13:06	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	neutral	35
103	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	dislike	04-11-20 21:25	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	negative	10
104	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	love	23-06-20 22:12	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	65
105	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	cherish	16-02-21 4:01	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	70
106	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	interested	03-01-21 8:44	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	30
107	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	adore	25-11-20 12:45	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	72
108	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	like	03-12-20 16:47	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	50
109	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	like	22-05-21 21:03	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	50
110	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	cherish	18-01-21 13:39	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	70
111	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	indifferent	06-01-21 0:35	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	neutral	20
112	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	adore	14-05-21 14:33	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	72
113	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	worried	27-05-21 15:21	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	negative	12
114	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	peeking	21-07-20 2:12	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	neutral	35
115	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	dislike	26-05-21 6:09	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	negative	10
116	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	dislike	25-02-21 3:16	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	negative	10
117	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	intrigued	07-12-20 22:50	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	45
118	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	indifferent	24-10-20 14:06	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	neutral	20
119	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	peeking	01-09-20 21:18	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	neutral	35
120	cf1e8c1a-23eb-4426-9f58-002fb1b53e91	adore	10-05-21 22:07	4607d7b0-3313-49b8-9f73-5b8227fc5b67	GIF	cooking	positive	72
121	3f8590c7-6ab2-4973-805a-90cdec355f05	cherish	12-02-21 16:37	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	70
122	3f8590c7-6ab2-4973-805a-90cdec355f05	heart	28-04-21 15:22	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	60
123	3f8590c7-6ab2-4973-805a-90cdec355f05	intrigued	24-01-21 0:38	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	45
124	3f8590c7-6ab2-4973-805a-90cdec355f05	worried	18-03-21 1:53	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	12
125	3f8590c7-6ab2-4973-805a-90cdec355f05	disgust	14-01-21 7:21	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	0
126	3f8590c7-6ab2-4973-805a-90cdec355f05	heart	23-12-20 4:11	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	60
127	3f8590c7-6ab2-4973-805a-90cdec355f05	hate	21-05-21 7:23	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	5
128	3f8590c7-6ab2-4973-805a-90cdec355f05	like	28-03-21 23:25	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	50
129	3f8590c7-6ab2-4973-805a-90cdec355f05	peeking	16-09-20 7:33	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	neutral	35
130	3f8590c7-6ab2-4973-805a-90cdec355f05	indifferent	08-11-20 10:53	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	neutral	20
131	3f8590c7-6ab2-4973-805a-90cdec355f05	heart	06-03-21 5:23	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	60
132	3f8590c7-6ab2-4973-805a-90cdec355f05	disgust	13-01-21 23:35	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	0
133	3f8590c7-6ab2-4973-805a-90cdec355f05	want	06-09-20 22:35	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	70
134	3f8590c7-6ab2-4973-805a-90cdec355f05	interested	24-06-20 9:31	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	30
135	3f8590c7-6ab2-4973-805a-90cdec355f05	hate	07-02-21 21:39	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	5
136	3f8590c7-6ab2-4973-805a-90cdec355f05	intrigued	21-01-21 18:28	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	45
137	3f8590c7-6ab2-4973-805a-90cdec355f05	dislike	27-02-21 0:21	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	10
138	3f8590c7-6ab2-4973-805a-90cdec355f05	worried	22-08-20 12:06	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	12
139	3f8590c7-6ab2-4973-805a-90cdec355f05	cherish	03-08-20 6:29	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	70
140	3f8590c7-6ab2-4973-805a-90cdec355f05	scared	02-08-20 6:20	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	15
141	3f8590c7-6ab2-4973-805a-90cdec355f05	want	04-06-21 4:57	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	70
142	3f8590c7-6ab2-4973-805a-90cdec355f05	super love	21-10-20 9:07	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	75
143	3f8590c7-6ab2-4973-805a-90cdec355f05	dislike	26-12-20 19:46	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	10
144	3f8590c7-6ab2-4973-805a-90cdec355f05	scared	02-03-21 22:47	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	15
145	3f8590c7-6ab2-4973-805a-90cdec355f05	indifferent	31-03-21 9:48	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	neutral	20
146	3f8590c7-6ab2-4973-805a-90cdec355f05	interested	14-06-21 13:44	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	30
147	3f8590c7-6ab2-4973-805a-90cdec355f05	scared	27-12-20 17:04	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	15
148	3f8590c7-6ab2-4973-805a-90cdec355f05	scared	11-02-21 3:51	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	15
149	3f8590c7-6ab2-4973-805a-90cdec355f05	interested	07-12-20 19:07	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	30
150	3f8590c7-6ab2-4973-805a-90cdec355f05	interested	28-12-20 8:31	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	30
151	3f8590c7-6ab2-4973-805a-90cdec355f05	interested	26-10-20 5:27	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	30
152	3f8590c7-6ab2-4973-805a-90cdec355f05	worried	26-09-20 18:43	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	12
153	3f8590c7-6ab2-4973-805a-90cdec355f05	scared	25-11-20 13:01	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	15
154	3f8590c7-6ab2-4973-805a-90cdec355f05	heart	11-07-20 5:51	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	60
155	3f8590c7-6ab2-4973-805a-90cdec355f05	heart	19-03-21 16:23	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	60
156	3f8590c7-6ab2-4973-805a-90cdec355f05	interested	11-10-20 18:31	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	30
157	3f8590c7-6ab2-4973-805a-90cdec355f05	heart	02-11-20 20:15	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	60
158	3f8590c7-6ab2-4973-805a-90cdec355f05	want	01-10-20 3:35	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	70
159	3f8590c7-6ab2-4973-805a-90cdec355f05	disgust	11-02-21 20:10	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	0
160	3f8590c7-6ab2-4973-805a-90cdec355f05	want	07-02-21 15:59	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	70
161	3f8590c7-6ab2-4973-805a-90cdec355f05	hate	17-10-20 11:46	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	negative	5
162	3f8590c7-6ab2-4973-805a-90cdec355f05	like	09-08-20 19:41	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	50
163	3f8590c7-6ab2-4973-805a-90cdec355f05	love	01-02-21 2:40	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	65
164	3f8590c7-6ab2-4973-805a-90cdec355f05	adore	30-01-21 9:36	ae600af5-c1f0-4b1f-adb0-1b4c246373e4	video	dogs	positive	72
165	e5490118-90d5-4572-ab1c-1fbc87b8d9ca	want	31-03-21 15:24	583f2bde-886d-4cf3-a5c4-7cb60cd25df3	video	technology	positive	70
166	e5490118-90d5-4572-ab1c-1fbc87b8d9ca	super love	05-02-21 17:00	583f2bde-886d-4cf3-a5c4-7cb60cd25df3	video	technology	positive	75
167	e5490118-90d5-4572-ab1c-1fbc87b8d9ca	heart	19-02-21 16:29	583f2bde-886d-4cf3-a5c4-7cb60cd25df3	video	technology	positive	60
