,reviews
10,"✅ Trip Verified |  This has been by far the worst service I have had on a plane. It's very obvious that if you are flying economy and not a frequent traveler of British Airways, they care very little about you. We had to wait an hour for them to even open the check-in. Once they did, they had 5 lines and only one that serviced economy. Even though the line for economy was three times the length of the premium classes. Then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. Once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. I will never fly this airline again! "
11,"✅ Trip Verified |  In Nov 2022 I booked and paid for a return journey to New Zealand. On my return journey my final flight was from London to Edinburgh. On trying to check in I was told my ticket ‘did not exist’. I showed evidence of my flight being booked and paid for but was denied a ticket. My only option was to buy a ticket for a later flight which cost £265.07. Since Nov 22, ie, 8 months ago, I have communicated multiple times with BA in an attempt to have my money returned. They have admitted responsibility for their error which cost me £265. I finally received word from them that they have decided to refund me the sum of £32.14. I have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. I do not intend to let this matter go. A company worth billions of pounds will not return an honest refund. PS, they also lost my luggage and did nothing to help me retrieve it. I tracked it down myself a week later to Edinburgh airport and picked it up myself."
12,Not Verified | BA is not treating its premium economy passengers with respect. You pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. This is short-changing passengers. 
13,"✅ Trip Verified |  24 hours before our departure on BA059 to Cape Town from Heathrow on Thursday 29th June, we did an online check-in. Seats had already been allocated for my wife and I - 41 E and F - which are the middle two seats of the central block of four. These were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. But there were no other seats available. We got to Heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. She did offer us an upgrade to Premium Economy but at 450GBP each it was beyond our affordability. She said we should try again at the departure gate but that also failed. We spoke to a member of the flight crew who was totally unsympathetic. The economy seats are so tiny that I was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. For 12 hours we suffered. When we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. BA Economy is absolutely awful. The evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. The breakfast Spanish Omelette was, however, not bad at all. The previous day we had flown economy from Malta to Heathrow on Malta Airlines and that 3 hour trip was a pleasure. The seats are wide and there is ample legroom. If they can do it, then why not British Airways."
14,"✅ Trip Verified |  We arrived at Heathrow at 0600 to find our flight to Ibiza was cancelled by BA with no explanation. As if that wasn’t galling enough, the customer service from BA at the airport was non-existent! There was no explanation, no apology and no assistance in finding an alternative flight. We’ve managed to find another flight from Stansted but that isn’t until much later today, thus wasting a chunk of our short trip. I simply don’t understand why BA don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. Shocking customer service!"
15,✅ Trip Verified |  Original flight was cancelled with no explanation. There was no representative to help in rebooking We had to call customer service (long distance call) The line kept dropping Had to do 40 + calls to find new booking only to discover the only way I could fly the next day was by paying business class. No help with hotel for the night stay.
16,"Not Verified |  Airport check in was functionary with little warmth but some efficiency. Flight was delayed with no communication given. Boarding was chaotic and no management of the process by ground staff. Seats on board are tight and you really feel like they have crammed in every seat possible. There is next to no recline. However I was thankful that there was no recline. If the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this A321 aircraft. No amenities on this flight except for a toilet that was clean but small. No IFE, no food and beverage unless you pay extra but the staff were friendly. Luggage arrived at the carousel within a very short amount of time."
17,✅ Trip Verified |  Flight fine. In-line with competitors. Pleasant crew. Only niggle is bussed to and from aircraft at Heathrow. It seems like this is standard for the Berlin flights. Would use again.
18,✅ Trip Verified |  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow. 
19,"✅ Trip Verified |  My flight on on 12 May 2023 got delayed an hour and 25 minutes which resulted in the cancellation of our connection flight on 12 May 2023 as the arrival of the first flight was only 15 before the departure of the second connecting flight. We contacted the BA call center multiple times to make changes to the flight in order to still arrive on the 12th of May to KEF airport through different flights. The team tried to find a solution but none made sense, not even on the next day the 13th of May 2023. We have made full booking of accommodation, car rental, activities etc for the vacation in Iceland. The cancellation of of these booking is not refundable. The call center suggested that we cancel the flight for a full refund, then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight. British Airways responded to the claim after a month with no compensation at all, even though we paid additional $600 on new bookings and additional charges. The refund of the cancelled flight took more than a month with multiple calla to follow up almost every week. I was promised to get refund on the first call but later I found out it was not processed properly. Every-time I call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment. After multiple calls I was refunded partially and not the full amount which is even bizarre from a company of this level. I had to make more calls to get the remaining balance refunded. The whole experience was terrible."
20,"Not Verified |  Cairo is a 5 hour flight and BA considers it to be short haul, so everyone is crammed in with knees pressed up against the seat in front and nothing in the way of inflight entertainment. Not even a magazine - which is now available by WiFi that you have to pay for. You have to pay for your seat choice, checked in baggage, food & drink, WiFi. Not that I have anything against that - I'm used to that on budget airlines - but this is for a premium price ticket. I would have preferred to fly on easyJet where the initial ticket would have been less, and the extras would have been half the price. The BA app and website makes it really difficult to understand the extras and we ended up with baggage on the wrong ticket so had to pay extra. And don't get me started on their customer service helpline. On board the staff are ok but on the long Cairo-London route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers. And for the flyers who don't want the hassle of charges, minimal cabin service, and budget seats, then they could easily provide a 'premium economy' option  and really make a difference for the experience. Heathrow Terminal 5 compounds the poor experience, especially for arrivals. It is also poorly served by transport links - especially for those of us who live near Gatwick which is being abandoned by BA. I have been a frequent flyer for many years - and was even a BA Gold Card holder at one point - so I know about the potential experience. I used be able to make the choice - do I fly budget, or do I fly more comfortably for more? Now it's a case of flying budget, or flying budget for double the price with BA. "
21,"✅ Trip Verified |  After travelling London to Madrid with British Airways, then with Iberia from Madrid to Lima and LATAM to Cuzco, my luggage arrived 7 days after me. When attempting to collect my luggage, mine was the only one not to arrive. I sought help and was informed to make a claim online. When my bag finally arrived 7 days later, the lock had been forced open and everything inside the case searched. Someone emptied my 1st aid kit and toiletries and threw my clothing about, I felt violated. I have been treated appallingly from start to finish. For a month, I have been back and forth to British Airways, yet they stated it is not their fault. "
22,"✅ Trip Verified |  My luggage was mis-tagged in Dallas on my way to Cairo via London. My Luggage arrived at LHR as planned on Saturday 6/24. However, upon arrival due to the luggage being mis-tagged and having the incorrect name on my luggage, it was never sent to Cairo. Its sitting in Terminal 3 in LHR (I have an air tag on my luggage) and British Airways is saying there is nothing they can do about it. I have filed 3 claims, made 13 phone calls, have been hung up on 3x and as simple as it is to solve this problem the workers at BA refuse to solve the problem. "
23,"✅ Trip Verified |  The airline lost my luggage and was absolutely awful throughout the entire trip. They gave me no updates, their website sucks, and it was nearly impossible to get someone on the phone. They finally delivered my luggage to my hotel after i had left to go back to the US, 5 days after I told them to ship it back to the US. Now, I’ve been calling everyday begging them to get my bag back to me. They appease me on the phone, tell me they’re fixing it, but nothing changes. The hotel can’t get in touch with them and they haven’t even tried to pick to bag back up. Several times, when I called I got a message saying they were not answering due to too many complaints and calls and to “call back later”. "
24,"✅ Trip Verified |  We booked on the BA website, round trip flights from Seattle to Amman with a stop in London, in Business Class. Our first flight was delayed and then diverted to NYC, and enroute my husband experienced a medical emergency. When we landed in NYC we were taken to a hospital and I stayed in constant contact with the airline agent who had arranged for the ambulance transfer. The same evening we flew back home, confirming cancellation of all remaining flights with the agent at the airport. For the next several weeks, we spoke many times with BA Customer Service, trying to obtain some kind of refund — we were met with contradictory explanations, excuses and an absence of meaningful customer service. We discovered we had been marked as “no-shows” for our flight to Amman and that our return flight was still active. We were unable to cancel the return on the website, despite booking on the website. Our phone calls were never returned, we spent a minimum of 40-60 minutes on hold for every phone call we made, our emails received only canned replies without answers or explanations, we were told it was “not possible” to receive a copy of the ticketing rules and regulations nor to speak with a supervisor, and after several weeks of this abysmal customer service I filed a complaint with the FAA. In response to my complaint I received an email from BA Customer Service explaining that they had reviewed my many requests for a “full refund” but that could not be accommodated due to the ticketing rules. They would issue flight credits - except for the portion for which we no-showed. They did not state how many credits. We never once asked for a full refund - we asked to read the rules and to receive a partial refund. We will not use the credits - we were fully refunded by our travel insurance."
25,"✅ Trip Verified |  First time flying with BA business class, never again. There are no boarding drinks provided. My meal quality was below business class standards as was the quality of the wine. On arrival at Bodrum my bags were among the last to appear. Not looking forward to the same chaos on the return flight. "
26,"Not Verified | You can buy sandwiches and crisps but don't expect a hot meal. Because the plane is a narrow body , there are no screens. Not helping matters is the fact that the BA prebooking shop for food didn't recognise the flight number, and the onboard  WiFi didn't work. "
27,"✅ Trip Verified |  This is a two-for-one review covering economy and business class on the BA flight from London City to Ibiza. Economy was excellent. A very light lunch (small cheese-and-pastrami sandwich, chocolate brownie) followed by a pretty much free-flowing drinks trolley. The flight was full but the crew worked hard and did a very good job. This is a flight I would recommend. Except, don't fall for the last minute offer for an upgrade to business for £100+ in each direction, as I did. (I flew economy out and business back, while my brother flew business, then economy.) The business seats are identical to economy, with no seats blocked, so you are squished in four abreast. The meals are almost identical, with minor tweaks such as a yoghurt for your £100. The only real plus is Champagne. But on my flight, there was none because of ""supply issues"". The cabin attendant (I think his name was Tom) must be one of the best in the business. I didn't eat, so I paid £100 for nothing. Oh well. So great flight but stick with economy."
28,"✅ Trip Verified | Absolutely horrible airline. Communication is terrible. Last minute delays, cancellations, seat changes with no communication. App and website user experience is years behind other airlines. Seats are cramped and uncomfortable. Overpriced. Would not fly again."
29,"✅ Trip Verified |  Having experienced delays and cancellations departing from USA to Europe and now a 3.5 hour estimated delay at LHR heading back to USA, I would warn travelers that BA has become unreliable and is now on my “Do Not Fly” list until they get better organized. "
30,"✅ Trip Verified | Travelled to Heathrow to Kalamata and return journey 11 days later. World Traveller (aka Economy) Class. Both flights departed on time. Return flight landed early - BUT - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. Flights OK - FA's (particularly on return flight) pleasant enough. But, as usual, Economy class seating was truly dreadful - no legroom at all. No better in Club class either - only the middle seat left free. Marked down because of this. Can only recommend if you are not tall."
31,Not Verified |  This flight failed at every level. We were delayed and arrived at our destination late so that our prepaid car transfer phoned to advise us that he could only wait another 10 minutes for us but this was a BA holiday. We pre ordered food for our flight and this was never loaded onto our flight and to finally compound British Airways complete and utter uselessness our luggage was still in Heathrow. As there is no flight tomorrow the earliest this luggage could possible arrive is very late on Wednesday evening. Having only the clothes that you flew in and reading you can only claim for toiletries and underwear seems to be the antithesis of a happy holiday. I might have expected a complimentary scone in lieu of no food but no we were told that we could purchase from the trolley what they had available. I would like to make it clear that we are British airways bronze level holders which as we have been long retired shows how we have used this airline historically.
32,"Not Verified |  Beware of British Airways and their marketing to make you believe that they are full of class and level above the rest. They won't treat you that way when you get bumped from a flight and it is their responsibility to compensate you for their mistakes. We recently had a trip home planned from MRS to SEA. A mechanical issue meant that we departed late from MRS to LHR where we needed to make a connecting flight. We landed with plenty of time to make it to our next gate, but a series of issues and choices by British Airways kept us from boarding our next plane. The crew did not let off passengers with connecting flights first nor did they hold the next flight for a mere 5-10 minutes for passengers to make connections on their airlines. Plus, we discovered that we had actually been bumped off our next flight before we even landed. We were pushed to Virgin Atlantic to figure out how to get us home. It extended our travel day by 8 hours! We were traveling with children as well. No offers of compensation or upgrades were made. And now BA is refusing to provide us any financial compensation. We paid for a trip home with only one connection and instead had two connections, multiple airlines to deal with, security through an extra airport with kids for a midnight flight we were never planning on. That is not what we paid for but BA refuses to make it right. So beware potential travelers!"
33,✅ Trip Verified |  I flew from Cairo to Heathrow on what they call euro club class which is a cramped coach seat with the middle empty seat. Horrible service. I get to Heathrow airport 40 minutes late so I had to run around looking for my connecting flight. Finally jumping through escalators and train to another building where is my gate. Given a seat that is different than what I paid extra for ?! It’s a shame for such well known airline.
34,"Not Verified | I flew with numerous airlines, but I gotta admit, British Airways is by far the worst airline ever when it comes to customer support. I waited 3 weeks for a ticket change. Call center workers are giving you false information just so they would make you hang up. They told me I was supposed to get an email from them with the flight changes, but never got. They don't have a live chat just like American Airlines do, they don't have a online form to submit your questions, they don t have a working international number. Total garbage."
35,"✅ Trip Verified |  We were traveling as a family (5 people). Because of an accident by the airport, we arrived at the airport only 1 hour before the flight. The kiosk was unable to read one of our passports and we had to go to check-in. The lady at the check-in checked the passport and gave us a boarding pass. Because we had no extra time, we headed straight to security and didn’t realize the lady gave us a duplicated boarding pass (not of the passport holder). We got stuck in security because of that, couldn’t figure out what was wrong. We only didn’t miss the flight because we ran through the airport with a 70 year old and a 9 year old included in the party. The staff at the gate was very cordial and helpful once we arrived there."
36,✅ Trip Verified | Flight at 8.40am from DUB to LCY cancelled 1155pm night before. No text message. No phone. Waiting at bus stop and randomly checked email to see alternate flight option. Hang on? What’s this! It was dark at 5am. It was hard to see mobile phone screen. I’m still jet lagged. Only option was to LHR at 9.20am. Tried calling. No one there. So accepted it. But I didn’t see the day change! It was the next day! I didn’t want the flight (as was staying at Docklands hence choosing LCY but thought I better take it as it’s leaving an hour after the original flight. Nope. I better call to say hey sorry I screwed up. Your flight is not going to work for me. I don’t have any more accommodation in Dublin and I don’t want to waste one night in London. Called. The most surly customer service (can you even be called that when you treat people like this) answered. She kept calling me James (not my name). She was brutal. You accepted it. I can’t do anything. She basically made me feel like a moron because in a moment of confusion I accepted the first available flight from the stupid supercomputer. She kept telling me about the algorithm and this was the flight that was chosen. But if you had called us we could have put you onto a Aer Lingus flight! Why didn’t you call? You are at fault. Just so callous and uncaring. She wanted to charge me 600 pounds in new flights and change fees. I said nope and booked a flight today with Ryanair. Plus I need to find my way from Gatwick to Docklands. More money from me because of BA’s utter contempt for their passengers. I’ve been flying Qantas for 25 years and they can do some funky stuff. But never this level of cruelty because of one simple error. Never again. How do people accept such utter contempt and ineptitude? Welcome to the U.K.! Just wow.
37,✅ Trip Verified |  Terrible. I have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights. The customer service or complete lack of it is appalling and has forced me to change credit cards as I no longer intend to use BA for any further flights. Terrible uncomfy old planes and miserable staff. 
38,✅ Trip Verified |  The customer service is ugly. Tried calling two weeks ago but still had problems with flight. All I get is someone in India. I thought i was flying Iberia once I looked close at ticket it was British Airways. Will never fly British Airway ever again.
39,"✅ Trip Verified |  Most uncomfortable flight I have ever experienced. It's a long time since I have flown long-haul, the cramped conditions were awful. The rows were so close together when the person in front reclined their seat my TV was so close I couldn't focus on it.  BA seem to want to make economy so uncomfortable to encourage customers to upgrade, this has not worked on me, I will avoid flying BA in future. My onward flight was with LATAM, same 787 aircraft but more room between rows, far more comfortable. On the return flight from Santiago the lights were turned down at 8pm, I feel the cabin crew do this to avoid providing a service, they just disappear behind the curtains."
40,"✅ Trip Verified |  I booked our first out of country trip to take my husband on a surprise trip to Monaco. I gave us over 3 hours for our connecting flight to and from home through Heathrow. Our flight left Seattle an hour late causing us to miss our connecting flight. We were rescheduled before we even landed. They booked us on a flight 7 hours later and offered no food tickets or any other type of reimbursement. Additionally we sat in their customer service line for an hour and a half to see if they could rebook us on an earlier flight, to watch them continually assist other customers that walked up outside of the queue (no earlier flights were available). When we arrived in Nice, France the airport was closed, including the rental car desk. We were not offered any assistance from the airline on a room or other accommodation for the night. We found a cab, which cost us 85 euros one one to get to our hotel. We thought there is no way something like this could happen on the way home….we were wrong. Our flight from Nice to Heathrow was 30 minutes late, with a 2.5 hour layover you would think we should still make our flight, unfortunately long security lines caused over 1.5 hr further delay. When arriving BA closed the doors and said they could not hold the plane any longer despite arriving 15mins before departure. After running through the Heathrow airport and going through security again. They sent us back to the customer service queue, where the first statement was we can’t get you out until tomorrow. After begging they found us a flight on another airline. At that time we were told our bags were transferred to our flight with Delta. We were given 8 pounds each for snacks at the airport for our now additional 5 hour delay. In total for our trip there and home we spent 13 hours at Heathrow airport which our original total layover of 6 hours, and we were offered 8 pound each. Unfortunately the drama continues. The two bags that they said made the Delta flight, shockingly did not. We were told that we had the file the claim with Delta, since the last part of our flight was with them. We have now been home for 5 days and each airline is pointing the finger at the other. As I said to both of them today. I don’t care who’ has my bags figure it out and send me my luggage I don't want your $500 reimbursement per bag, as that doesn’t come close to the memories and stuff that I have in there. I will never fly British Airways again, and Delta’s baggage people are not doing great either."
41,✅ Trip Verified | My husband and I booked seats within our premium economy booking. On both outward journey BA015 on 12 February and return on 11 March we were last OR almost last to be served food. Each time they had run out of our choices. On one occasion I did not eat as only available option was curry which disagrees with me. On all flights there appeared to be an undue focus on curry/spicy food. All in all very disappointing and left us with a very poor opinion of British Airways.
42,"Not Verified |  May 3, flew from Seattle to Heathrow then to Edinburgh. BA lost my golf bag which caused me to purchase golf shoes, club rentals, tees, balls. I had tee times at two courses in St. Andrews that took months to make. The promised my bag returned in 24 hours and they would reimburse occurred expenses. I contacted BA and they state they would only reimburse toiletries. Then the return flight home was randomly canceled by BA without notifying me or without notice two weeks before the scheduled flight. I contacted the corporate travel team, they informed me BA, canceled my return reservation. They rebooked me on the same flight. BA customer service was horrendous and make false promises. I will never use this airlines again. Beware of British Airways. They also randomly canceled my girlfriend and her fathers flight and they are both gold members."
43,"✅ Trip Verified | I went through three flights to reach my destination. All of my BA flights without exception were delayed, both on my way to my destination and back from my destination which is understandable to an extent. What's not understandable is that they weren't prepared for one of the flights and delayed by almost an hour so I ended up missing a flight and for that they rebooked me 24h ahead providing only accommodation which they messed up as well and after 30 hours of traveling I had to wait and hope that the hotel would find an extra room since BA didn't communicate properly with them. I gave BA a chance to correct their mistake by contacting them after the flights but all they did was answer once with a lot of serious complaints that were involved with their flights and all they did was tell me to contact their partners that I had the last flight with, which went smoothly and they had nothing to do with the previously addressed complaints. I contacted them and gave them over a week asking why they didn't address any of my complaints that their partner could have nothing to do with and they just ghosted me. 2/10 for the kind personnel that's holding this airline together though."
44,"✅ Trip Verified | An excellent flight in Club World on British Airways. The welcome aboard was warm and that continued throughout the flight. The crew were attentive, friendly and very professional. On board food for dinner and breakfast was good and there was a well chosen selection of wines. In flight entertainment offered a great selection of films and audio. The seat/flat bed was very comfortable - British Airways have done an excellent job in the design and comfort of the suites on board the A350. I liked the sleek, minimalist design. This flight showed that BA can be among the world’s best airlines."
45,"✅ Trip Verified | The flight schedule was delayed for one hour. After boarding the plane we were delayed at least another 30 minutes. When we arrived in London, we were delayed again for at least another 30 minutes to find a gate. We were left with 45 minutes only to catch our connecting flight to Barcelona, we needed to run and take the train to different terminal to catch our next connecting flight. When we arrived at Barcelona airport, we discovered that our check in luggage was still in London. Very painful trip (disrupted our vacation). Not flying with BA anymore if I can find alternative Airlines. "
46,"✅ Trip Verified | The worst experience in all my years of travel. My first flight with my two kids from Boston to London was delayed by 2 hours, resulting in me missing my connecting flight. Despite having a layover of approximately 2.5 hours, I ended up waiting until 4.30 pm to board my flight to Cairo. Unfortunately, even that flight was delayed. I would strongly advise avoiding this particular airline, even if it means paying a bit more for a different option."
47,"✅ Trip Verified |  The worst experience in all my years of travel. Bag was destroyed, flight delayed 3 hours and couldn't get water on board. Then when attempting to claim on their website the entire site failed on a dropdown menu that wouldn't work. You can't contact them. Plane was filthy and someone else's belongings and left over food was still in our seat."
48,✅ Trip Verified |  Terrible delays. Had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. Lost all my luggage; received luggage after 4 days. Had to purchase new clothes for the family for a wedding. No customer service rep picks up the phone.
49,✅ Trip Verified |  A serious medical problem appeared while I was onboard. I informed the crew and they helped me out. Unfortunately I was in transit but travelling further became too difficult because of how unwell I became. Also I could not find my way back home in my condition. Thankfully the crew has helped me in every step of the journey until I returned back home. It was a stressful experience but the crew of British Airways made it way more tolerable.
50,"✅ Trip Verified |  I haven't flown British Airways before and will never fly them again! The check-in process was terrible and slow. There were over 30 people in the regular check in line and they had two agents working it. They had one agent working the first class line. It should not take that long to check people in especially when people should have checked in online ahead of time. Our group checked in online and almost missed our plane because of the slow counter service. We had to run to the gate and we did make it, but they were terrible!"
51,"Not Verified |  My itinerary was supposed to be Las Vegas-Chicago-London-Venice. When I landed in London Heathrow, I was stuck on the aircraft for 2 hours with no explanation as to why and because of such a delay I missed my connecting flight to Venice. Getting off the plane was when the real nightmare took place. Our flight had over 300 people aboard meaning many were in a rush to get to their flights or had already missed their flight. They put us into two lines, one of them being for people who missed their flight. I waited approximately 10 minutes just to come up to a clerk who told me ""Since I missed my flight I would have to go to the connecting flight BA service desks for further assistance."" If I were to have known that was the only information I would receive I would have skipped being in that line altogether. When I went to the service desk where there were more than 60+ people standing in line, I waited 30+ minutes until a clerk came by passing everyone a pamphlet telling people to create an account online and to book our flights through the BA site since their systems were down and couldn't rebook anyone. It was a hassle doing anything through he BA site so I ended up calling the helpline. After waiting to be connected to a BA rep. I spoke with a woman who said I would have to call Iberia Airlines for a rebook, I called Iberia and they said since I booked through Expedia I would have to call them. Expedia then said I would have to call BA for the rebook so when I called BA again, the rep. said the only flight he could get me booked for was for the following Monday, mind you I was travelling since the 25th which was a Friday. All the hotels in the vicinity of the airport were booked, I was trying to figure out where my checked baggage went (I still don't have it), most of the customer service I got from BA reps was horrible service as if they could care less for the predicament their company caused me. They acted like I was inconveniencing them with ""my issues"". I also had to sleep in the airport waiting for my flight the next morning because hotels were booked. Overall my experience with British Airlines has been the worst airline experience I've ever had to deal with. I will never book with this company again. I would rather pay more money for a ticket in a different airline than buy through this company again."
52,"✅ Trip Verified |  Busy day at LHR and flight full. Lounge crowded but B gates lounge quieter. Flight left on time, very professional crew, greeted by name and executive club status acknowledged and thanked for return custom. A nice touch. Service was good. Food average. Entertainment good. Early arrival, quick processing at JFK. All good."
